Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Title,Artist_clean,Title_clean
The Weeknd - Blinding Lights,2416,446.0,1,(x82),8453567,5409337902,The Weeknd,Blinding Lights,the weeknd,blinding lights
Harry Styles - As It Was,1516,426.0,1,(x81),16103849,4402951367,Harry Styles,As It Was,harry styles,as it was
Ed Sheeran - Shape of You,2930,237.0,1,(x98),9878194,4402714144,Ed Sheeran,Shape of You,ed sheeran,shape of you
The Neighbourhood - Sweater Weather,2235,,12,,3342205,4109218384,The Neighbourhood,Sweater Weather,the neighbourhood,sweater weather
Lewis Capaldi - Someone You Loved,2388,107.0,4,,3974554,3902396693,Lewis Capaldi,Someone You Loved,lewis capaldi,someone you loved
The Weeknd - Starboy,2210,145.0,1,(x40),5125218,3833904002,The Weeknd,Starboy,the weeknd,starboy
Billie Eilish - BIRDS OF A FEATHER,789,486.0,1,(x25),10082989,3802285452,Billie Eilish,BIRDS OF A FEATHER,billie eilish,birds of a feather
Lady Gaga - Die With A Smile,698,417.0,1,(x201),11621474,3776108550,Lady Gaga,Die With A Smile,lady gaga,die with a smile
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,2404,213.0,1,(x16),5033261,3736881972,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,post malone,sunflower - spider-man: into the spider-verse
Ed Sheeran - Perfect,3171,102.0,3,(x1),3690839,3678412757,Ed Sheeran,Perfect,ed sheeran,perfect
Billie Eilish - lovely,2769,,19,,2085328,3458657426,Billie Eilish,lovely,billie eilish,lovely
The Kid LAROI - Stay,1312,299.0,1,(x84),10629302,3399238469,The Kid LAROI,Stay,the kid laroi,stay
Drake - One Dance,2250,187.0,1,(x101),7196287,3372192930,Drake,One Dance,drake,one dance
Arctic Monkeys - I Wanna Be Yours,1469,,11,,3186952,3347550094,Arctic Monkeys,I Wanna Be Yours,arctic monkeys,i wanna be yours
Imagine Dragons - Believer,2952,,15,,2572100,3314004592,Imagine Dragons,Believer,imagine dragons,believer
Coldplay - Yellow,2024,,15,,3078369,3118264517,Coldplay,Yellow,coldplay,yellow
Glass Animals - Heat Waves,1426,258.0,1,(x65),5003951,3099680325,Glass Animals,Heat Waves,glass animals,heat waves
Tom Odell - Another Love,1831,,11,,3052832,3082016539,Tom Odell,Another Love,tom odell,another love
Sabrina Carpenter - Espresso,824,224.0,1,(x32),11692253,3056541779,Sabrina Carpenter,Espresso,sabrina carpenter,espresso
Benson Boone - Beautiful Things,908,218.0,1,(x35),9256894,3020296524,Benson Boone,Beautiful Things,benson boone,beautiful things
Vance Joy - Riptide,2701,,16,,2526786,2885886359,Vance Joy,Riptide,vance joy,riptide
Jung Kook - Seven,1088,153.0,1,(x71),17902017,2807229041,Jung Kook,Seven,jung kook,seven
Taylor Swift - Cruel Summer,1026,257.0,2,(x18),5405688,2716838485,Taylor Swift,Cruel Summer,taylor swift,cruel summer
Djo - End of Beginning,879,181.0,1,(x35),9308588,2688466968,Djo,End of Beginning,djo,end of beginning
Lord Huron - The Night We Met,1442,,15,,3221586,2640066094,Lord Huron,The Night We Met,lord huron,the night we met
The Weeknd - Die For You,1572,2.0,9,,3554197,2631736342,The Weeknd,Die For You,the weeknd,die for you
The Weeknd - One Of The Girls,1011,80.0,2,(x2),5073947,2619423792,The Weeknd,One Of The Girls,the weeknd,one of the girls
Harry Styles - Watermelon Sugar,1564,127.0,4,,4321515,2598700368,Harry Styles,Watermelon Sugar,harry styles,watermelon sugar
James Arthur - Say You Won't Let Go,2483,97.0,6,,2817950,2591662993,James Arthur,Say You Won't Let Go,james arthur,say you won't let go
The Police - Every Breath You Take,1734,15.0,6,,3784859,2570650004,The Police,Every Breath You Take,the police,every breath you take
The Chainsmokers - Something Just Like This,2086,86.0,2,(x14),4937390,2564244397,The Chainsmokers,Something Just Like This,the chainsmokers,something just like this
OneRepublic - Counting Stars,2610,,31,,1717699,2534535975,OneRepublic,Counting Stars,onerepublic,counting stars
Tones And I - Dance Monkey,1048,286.0,1,(x120),8928593,2508984101,Tones And I,Dance Monkey,tones and i,dance monkey
Teddy Swims - Lose Control,971,57.0,5,,5154184,2486589837,Teddy Swims,Lose Control,teddy swims,lose control
ROSÉ - APT.,635,251.0,1,(x28),14596132,2471714251,ROSÉ,APT.,rosé,apt.
Jimin - Who,723,188.0,1,(x20),10674703,2468287250,Jimin,Who,jimin,who
Miley Cyrus - Flowers,807,179.0,1,(x82),18424325,2461768970,Miley Cyrus,Flowers,miley cyrus,flowers
Arctic Monkeys - 505,1652,,40,,1987531,2431081810,Arctic Monkeys,505,arctic monkeys,505
SZA - Kill Bill,848,174.0,1,(x20),8455200,2414898521,SZA,Kill Bill,sza,kill bill
The Chainsmokers - Closer,1875,191.0,1,(x82),6875523,2361939188,The Chainsmokers,Closer,the chainsmokers,closer
Coldplay - Viva La Vida,1444,,27,,2811786,2258772198,Coldplay,Viva La Vida,coldplay,viva la vida
Bruno Mars - Locked out of Heaven,1663,,14,,3445221,2252225122,Bruno Mars,Locked out of Heaven,bruno mars,locked out of heaven
"Tyler, The Creator - See You Again",1181,,13,,3276823,2184996464,"Tyler, The Creator",See You Again,"tyler, the creator",see you again
The Goo Goo Dolls - Iris,1034,5.0,9,,3333439,2165996458,The Goo Goo Dolls,Iris,the goo goo dolls,iris
Eminem - Without Me,1725,,29,,2404685,2157370825,Eminem,Without Me,eminem,without me
Hozier - Take Me To Church,2205,139.0,1,(x30),2140282,2136257540,Hozier,Take Me To Church,hozier,take me to church
Mariah Carey - All I Want for Christmas Is You,622,273.0,1,(x86),24863570,2122559136,Mariah Carey,All I Want for Christmas Is You,mariah carey,all i want for christmas is you
Billie Eilish - WILDFLOWER,789,36.0,8,,6821322,2106105852,Billie Eilish,WILDFLOWER,billie eilish,wildflower
"Chappell Roan - Good Luck, Babe!",766,133.0,5,,6303841,2098556132,Chappell Roan,"Good Luck, Babe!",chappell roan,"good luck, babe!"
Dua Lipa - Don't Start Now,1152,235.0,2,(x7),6100930,2095889464,Dua Lipa,Don't Start Now,dua lipa,don't start now
Post Malone - rockstar,1208,185.0,1,(x114),7156650,2052310834,Post Malone,rockstar,post malone,rockstar
Shawn Mendes - Señorita,1021,170.0,1,(x102),9936178,2046655077,Shawn Mendes,Señorita,shawn mendes,señorita
Tate McRae - greedy,789,206.0,1,(x34),6282050,2025082587,Tate McRae,greedy,tate mcrae,greedy
Kendrick Lamar - All The Stars,1131,74.0,2,(x14),7399673,2018420496,Kendrick Lamar,All The Stars,kendrick lamar,all the stars
Bad Bunny - DtMF,556,178.0,1,(x43),16526556,2002264794,Bad Bunny,DtMF,bad bunny,dtmf
Bruno Mars - That's What I Like,1369,57.0,5,,3482628,2000173728,Bruno Mars,That's What I Like,bruno mars,that's what i like
Alex Warren - Ordinary,523,263.0,1,(x52),6117943,1999909010,Alex Warren,Ordinary,alex warren,ordinary
Cigarettes After Sex - Apocalypse,1408,,44,,1982056,1990527523,Cigarettes After Sex,Apocalypse,cigarettes after sex,apocalypse
Ariana Grande - we can't be friends (wait for your love),825,50.0,1,(x13),9432687,1977835752,Ariana Grande,we can't be friends (wait for your love),ariana grande,we can't be friends (wait for your love)
Gigi Perez - Sailor Song,696,76.0,5,,4950780,1977776042,Gigi Perez,Sailor Song,gigi perez,sailor song
sombr - back to friends,484,319.0,1,(x3),6259851,1977220331,sombr,back to friends,sombr,back to friends
Elton John - Cold Heart - PNAU Remix,1009,199.0,2,(x1),5699348,1972427296,Elton John,Cold Heart - PNAU Remix,elton john,cold heart - pnau remix
Manuel Turizo - La Bachata,853,173.0,3,(x3),4806467,1936624976,Manuel Turizo,La Bachata,manuel turizo,la bachata
Travis Scott - goosebumps,1954,1.0,10,,3297928,1919311891,Travis Scott,goosebumps,travis scott,goosebumps
Juice WRLD - Lucid Dreams,1426,110.0,2,(x6),5544528,1896783804,Juice WRLD,Lucid Dreams,juice wrld,lucid dreams
Post Malone - Circles,1190,131.0,1,(x3),7292777,1891712728,Post Malone,Circles,post malone,circles
Billie Eilish - bad guy,949,169.0,1,(x41),7220348,1887770085,Billie Eilish,bad guy,billie eilish,bad guy
Ed Sheeran - Photograph,2325,,13,,1769541,1886233733,Ed Sheeran,Photograph,ed sheeran,photograph
David Guetta - I'm Good (Blue),810,144.0,1,(x1),6863607,1871877445,David Guetta,I'm Good (Blue),david guetta,i'm good (blue)
Bruno Mars - Just the Way You Are,1312,,24,,2737304,1868596148,Bruno Mars,Just the Way You Are,bruno mars,just the way you are
The Killers - Mr. Brightside,1797,,29,,2417656,1866835459,The Killers,Mr. Brightside,the killers,mr. brightside
Hozier - Too Sweet,671,91.0,2,(x10),8742996,1834937686,Hozier,Too Sweet,hozier,too sweet
Bruno Mars - When I Was Your Man,1580,,28,,2663783,1821883115,Bruno Mars,When I Was Your Man,bruno mars,when i was your man
