Artist and Title,Days,T10,Pk,(x?),PkStreams,Total,Artist,Title,Artist_clean,Title_clean,Unnamed: 0.1,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artists_clean,track_name_clean
The Weeknd - Blinding Lights,2416,446.0,1,(x82),8453567,5409337902,The Weeknd,Blinding Lights,the weeknd,blinding lights,81000.0,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,After Hours,Blinding Lights,91.0,200040.0,False,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4.0,pop,the weeknd,blinding lights
Harry Styles - As It Was,1516,426.0,1,(x81),16103849,4402951367,Harry Styles,As It Was,harry styles,as it was,81052.0,4LRPiXqCikLlN15c3yImP7,Harry Styles,As It Was,As It Was,95.0,167303.0,False,0.52,0.731,6.0,-5.338,0.0,0.0557,0.342,0.00101,0.311,0.662,173.93,4.0,pop,harry styles,as it was
Ed Sheeran - Shape of You,2930,237.0,1,(x98),9878194,4402714144,Ed Sheeran,Shape of You,ed sheeran,shape of you,81031.0,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,÷ (Deluxe),Shape of You,86.0,233712.0,False,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,4.0,pop,ed sheeran,shape of you
The Neighbourhood - Sweater Weather,2235,,12,,3342205,4109218384,The Neighbourhood,Sweater Weather,the neighbourhood,sweater weather,2003.0,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,I Love You.,Sweater Weather,93.0,240400.0,False,0.612,0.807,10.0,-2.81,1.0,0.0336,0.0495,0.0177,0.101,0.398,124.053,4.0,alt-rock,the neighbourhood,sweater weather
Lewis Capaldi - Someone You Loved,2388,107.0,4,,3974554,3902396693,Lewis Capaldi,Someone You Loved,lewis capaldi,someone you loved,81422.0,7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Someone You Loved,87.0,182160.0,False,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,4.0,pop,lewis capaldi,someone you loved
Ed Sheeran - Perfect,3171,102.0,3,(x1),3690839,3678412757,Ed Sheeran,Perfect,ed sheeran,perfect,81023.0,0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,÷ (Deluxe),Perfect,87.0,263400.0,False,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,3.0,pop,ed sheeran,perfect
Arctic Monkeys - I Wanna Be Yours,1469,,11,,3186952,3347550094,Arctic Monkeys,I Wanna Be Yours,arctic monkeys,i wanna be yours,38000.0,5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,AM,I Wanna Be Yours,92.0,183956.0,False,0.464,0.417,0.0,-9.345,0.0,0.0256,0.136,0.022,0.0974,0.479,67.528,4.0,garage,arctic monkeys,i wanna be yours
Imagine Dragons - Believer,2952,,15,,2572100,3314004592,Imagine Dragons,Believer,imagine dragons,believer,91011.0,0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Evolve,Believer,88.0,204346.0,False,0.776,0.78,10.0,-4.374,0.0,0.128,0.0622,0.0,0.081,0.666,124.949,4.0,rock,imagine dragons,believer
Coldplay - Yellow,2024,,15,,3078369,3118264517,Coldplay,Yellow,coldplay,yellow,81779.0,2ubrTNQou3onHm2WNHcCyT,Coldplay,Hits Hits Hits,Yellow,3.0,266773.0,False,0.429,0.661,11.0,-7.227,1.0,0.0281,0.00239,0.000121,0.234,0.285,173.372,4.0,pop,coldplay,yellow
Glass Animals - Heat Waves,1426,258.0,1,(x65),5003951,3099680325,Glass Animals,Heat Waves,glass animals,heat waves,56004.0,6CDzDgIUqeDY5g8ujExx2f,Glass Animals,Heat Waves,Heat Waves,85.0,238805.0,False,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4.0,indie-pop,glass animals,heat waves
Tom Odell - Another Love,1831,,11,,3052832,3082016539,Tom Odell,Another Love,tom odell,another love,15013.0,3JvKfv6T31zO0ini8iNItO,Tom Odell,Long Way Down (Deluxe),Another Love,93.0,244360.0,True,0.445,0.537,4.0,-8.532,0.0,0.04,0.695,1.65e-05,0.0944,0.131,122.769,4.0,chill,tom odell,another love
